maserati ghibli s;410 ch;25 100;2015;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1208179_1.jpg;66 500;
ferrari california;t f1;7 692;2015;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24393737_1.jpg;179 500;
ferrari f12berlinetta;7 123;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24252790_1.jpg;279 900;
ferrari 458;spider ;10 320;2012;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23640579_1.jpg;199 500;
maserati ghibli diesel;275 ch;16 400;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1192591_1.jpg;68 500;ferrari 458;speciale ;22 884;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23640542_1.jpg;299 500;
maserati ghibli diesel;275 ch;74 782;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1192595_1.jpg;46 500;
ferrari 599;gto ;26 413;2010;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24033424_1.jpg;590 000;
ferrari f430;spider ;18 518;2008;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24413335_1.jpg;115 900;
ferrari 599;gtb fiorano ;72 501;2008;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24082362_1.jpg;129 500;
ferrari 575m;maranello ;42 648;2004;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23635968_1.jpg;125 000;
maserati ghibli diesel;275 ch;3 500;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1192605_1.jpg;71 900;
﻿maserati ghibli diesel;275 ch;16 100;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1192587_1.jpg;68 500;
maserati granturismo s automatica;4.7 440 ch;5 000;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1192609_1.jpg;114 900;
ferrari ff;41 119;2012;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24409205_1.jpg;179 900;
ferrari 599;gtb fiorano ;21 654;2007;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23831715_1.jpg;145 000;
ferrari 488;spider ;1 282;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24374179_1.jpg;319 500;
ferrari 458;spider ;40 052;2013;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24398961_1.jpg;198 900;
ferrari 458;speciale ;9 220;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23254971_1.jpg;299 500;
ferrari 512bb;carburator;153 986;1981;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23640401_1.jpg;410 000;
ferrari california;t f1;18 733;2015;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_22875020_1.jpg;212 500;
ferrari california;t f1;26 952;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24424756_1.jpg;174 900;
ferrari superamerica;13 017;2005;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23647581_1.jpg;495 000;
maserati quattroporte gts;3.8 gts 530ch;6 500;2013;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_590984_1.jpg;119 500;
﻿ferrari california;t f1;2 023;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24417825_1.jpg;237 900;
ferrari f430;spider ;25 917;2007;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23646613_1.jpg;109 500;
ferrari 430;scuderia ;23 326;2009;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24026697_1.jpg;189 500;
maserati ghibli diesel;275 ch;4 500;2016;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1169273_1.jpg;72 900;
ferrari testarossa;141 909;1986;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24409207_1.jpg;99 500;
ferrari ff;10 461;2013;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_21702262_1.jpg;239 500;
maserati grancabrio sport;450 ch;38 802;2013;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1188195_1.jpg;96 500;
Ford Mustang;2.3 EcoBoost 317ch BVA6;8 250;2016;77;http://www.auto-selection.com/modules/getPhoto.php?marque=Ford&modele=Mustang&id=15400435&data=1&num=1&format=m;41 900;
ferrari 488;gtb ;2 545;2015;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_23729233_1.jpg;247 900;
ferrari 458;italia ;26 888;2011;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24384297_1.jpg;165 500;
ferrari 599;gtb fiorano ;66 120;2006;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24413336_1.jpg;119 500;
ferrari ff;25 724;2015;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24409206_1.jpg;249 500;
ferrari f12berlinetta;24 511;2013;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_21901684_1.jpg;249 500;
ferrari 612;scaglietti ;19 179;2009;92;http://static.radarvo.com/images/auto/motortrak_pozzi_ferrari_24359104_1.jpg;105 500;
maserati ghibli;330 ch;44 013;2014;92;http://static.radarvo.com/images/auto/motortrak_pozzi_maserati_1208185_1.jpg;56 500;
﻿Ford Mustang;FASTBACK GT V8 50L 418HP;10;2017;77;http://www.auto-selection.com/modules/getPhoto.php?marque=Ford&modele=Mustang&id=15366721&data=1&num=1&format=m;46 200;
Land rover Range Rover Evoque;2.0 TD4 180 HSE DYNAMIC BVA MARK IV + OPTIONS;17 600;2016;31;http://www.auto-selection.com/modules/getPhoto.php?marque=Land rover&modele=Range Rover Evoque&id=15127561&data=1&num=1&format=m;49 990;
Porsche Macan;S Diesel 258ch  S Diesel 258ch;42 700;2015;67;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=Macan&id=15456858&data=1&num=1&format=m;65 500;
Ferrari 360;SPIDER Boite F1;39 000;2004;95;http://www.auto-selection.com/modules/getPhoto.php?marque=Ferrari&modele=360&id=15382987&data=1&num=1&format=m;85 000;
Porsche 911 Type 997;(997) (997) CABRIOLET 3.8 355 CARRERA 4S;46 885;2008;38;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911 Type 997&id=15407617&data=1&num=1&format=m;61 900;
Porsche 911 Type 991;coupe (991) CARRERA 50 ANS PDK;17 500;2014;13;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911 Type 991&id=14945659&data=1&num=1&format=m;179 900;
Mercedes Classe C;oupe 300 245ch Executive 7G-Tronic Plus;6 600;2016;98;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe C&id=15335061&data=1&num=1&format=m;52 000;
Porsche Panamera;NOUVELLE 4 E-Hybrid Executive 2017;30;2017;44;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=Panamera&id=15323871&data=1&num=1&format=m;127 728;
Mercedes CL;200 d Sensation 7G-DCT;22 412;2015;62;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=CL&id=14854689&data=1&num=1&format=m;31 500;
Bmw 525;218 M Sport;17 675;2016;25;http://www.auto-selection.com/modules/getPhoto.php?marque=Bmw&modele=525&id=15276880&data=1&num=1&format=m;37 800;
Mercedes GLC;250 d 4 Matic;13 300;2015;31;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=GLC&id=15344228&data=1&num=1&format=m;49 400;
Porsche Cayenne;(958) V6 TIPTRONIC;67 500;2011;54;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=Cayenne&id=15503957&data=1&num=1&format=m;49 790;
Bmw X5;xDrive25dA 218ch Lounge;62 041;2015;24;http://www.auto-selection.com/modules/getPhoto.php?marque=Bmw&modele=X5&id=15424077&data=1&num=1&format=m;43 900;
Lexus GS;450h F SPORT;99 445;2012;85;http://www.auto-selection.com/modules/getPhoto.php?marque=Lexus&modele=GS&id=15334963&data=1&num=1&format=m;30 900;
Mercedes Classe C 220;220 d Sportline 7G-Tronic Plus;500;2017;77;http://www.voiture-de-prestige.com/images/default.gif;48 900;
﻿Mercedes Classe S;300 245ch Fascination 9G-Tronic;500;2016;29;http://www.auto-selection.com/modules/getPhoto.php?marque=Mercedes&modele=Classe S&id=15239348&data=1&num=1&format=m;56 900;
Bmw Serie 4;M4 431ch DKG7;26 450;2014;74;http://www.voiture-de-prestige.com/images/default.gif;78 900;
Audi A6 Avant;3.0 V6 TDI 218 Amb Lx qto Stro;100;2016;53;http://www.auto-selection.com/modules/getPhoto.php?marque=Audi&modele=A6 Avant&id=15316351&data=1&num=1&format=m;58 600;
Porsche 911 Type 997;3.8 Carrera S PDK Cabriolet;60 500;2009;31;http://www.auto-selection.com/modules/getPhoto.php?marque=Porsche&modele=911 Type 997&id=15321049&data=1&num=1&format=m;72 400;
